#Trace: bridge3_with_e_good_compensation
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 101
#Resistor: 10000 O
#Average: 9
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic

Frequency (Hz),Gain (X),Phase (rad),Real (Ohm),Imag (Ohm),VReal (V),VImag (V),IReal (A),IImag (A),Resistor (Ohm),Amplitude (V)
251.1886431509579,1.985922465793164,-0.10245010805901,19511.92127026061,-3035.95253330146,0.4664246838409592,-0.07229156334303759,2.361880613891141e-05,-3.660699099407526e-06,10000,1
275.4228703338166,1.979432355864381,-0.112020172110926,19417.57742533107,-3310.603875403125,0.4651882668207565,-0.07901796010576805,2.361478367928431e-05,-4.011262036828249e-06,10000,1
301.9951720402016,1.971787038739637,-0.1224497155273635,19306.88796071258,-3609.12546403855,0.4637086626192611,-0.08633833953589733,2.360857183198133e-05,-4.395701558115684e-06,10000,1
331.1311214825911,1.962562485683862,-0.1337350787363152,19173.3986363992,-3927.719028369888,0.4619516988545448,-0.09425062892315197,2.360296579074852e-05,-4.81564279500604e-06,10000,1
363.0780547701014,1.951883148442795,-0.1460217395413138,19017.33937716663,-4270.153418164183,0.4598796066769228,-0.1028511573581391,2.3593613764031e-05,-5.276664689322221e-06,10000,1
398.1071705534973,1.939064783349996,-0.1592523397932896,18833.20902635386,-4633.995604808687,0.4573994275380761,-0.1120912048203546,2.358335069779416e-05,-5.779382382800732e-06,10000,1
436.5158322401661,1.924235859681285,-0.1735964120741434,18618.70350312581,-5021.82189209792,0.4544918345625212,-0.1220877772498242,2.356833161809236e-05,-6.331038319993899e-06,10000,1
478.6300923226385,1.906408449449606,-0.1889236662856242,18363.85667894049,-5426.877070293669,0.4510711416577566,-0.1327483391872439,2.35554690015667e-05,-6.932275421660893e-06,10000,1
524.8074602497722,1.885789011739542,-0.2054429634979921,18070.0513542399,-5853.40618471225,0.4470445681083518,-0.1441982416885851,2.353564854146455e-05,-7.591634881149329e-06,10000,1
575.4399373371566,1.861462006487688,-0.2229994611901673,17726.40851630126,-6292.328979227653,0.4423269326194851,-0.1563252797861705,2.351480497139363e-05,-8.310501113963623e-06,10000,1
630.957344480193,1.833336456508079,-0.2416448264142773,17333.31741569588,-6741.726939219933,0.4368347873268552,-0.1691484323050515,2.348802842567267e-05,-9.094887361079852e-06,10000,1
691.8309709189363,1.801150735627921,-0.2613634380767164,16886.05663944766,-7197.407330117336,0.4304866904115502,-0.1826422315336494,2.345253873348462e-05,-9.950189180803651e-06,10000,1
758.5775750291837,1.763874670281417,-0.2820236111902792,16375.69636260007,-7647.917993201248,0.4231763545151943,-0.1967148996108171,2.341419586362766e-05,-1.08841648160097e-05,10000,1
831.7637711026708,1.721461176959808,-0.3035287281658318,15802.06153119366,-8088.161855248666,0.4148151627500722,-0.2112744497193551,2.336720680203581e-05,-1.190143032826644e-05,10000,1
912.0108393559096,1.673687442878601,-0.3256364728285822,15168.02499517387,-8505.221640844264,0.4053300003388961,-0.2261294781775977,2.330938836840645e-05,-1.300407032289662e-05,10000,1
1000,1.620000489906787,-0.3482086992399191,14467.60031370844,-8889.682260324633,0.3946385735270049,-0.2411874446044111,2.324153019655665e-05,-1.42043014870673e-05,10000,1
1096.478196143185,1.56062962631375,-0.37091501969244,13709.31634698413,-9229.561573981831,0.3827279855693943,-0.2562053855429034,2.315926534551399e-05,-1.550325225867754e-05,10000,1
1202.264434617413,1.495571745573719,-0.3934435980948357,12897.92088746328,-9513.634481592335,0.3696026916109317,-0.2709871754712334,2.306211340039478e-05,-1.690879723719367e-05,10000,1
1318.256738556408,1.424997870210889,-0.4154223286877908,12040.84225978617,-9732.185853463305,0.3552372435081299,-0.2852619249058122,2.294568911593663e-05,-1.842580293907901e-05,10000,1
1445.439770745928,1.349634005835497,-0.4363822935343489,11152.78342972808,-9876.525650836744,0.3397716652189869,-0.2987571193674269,2.280902911232496e-05,-2.005570367021055e-05,10000,1
1584.893192461114,1.2701586688476,-0.455924894170475,10246.05380454203,-9940.419935520677,0.3232777414536867,-0.3112166328491042,2.264672556149159e-05,-2.180180312635246e-05,10000,1
1737.800828749376,1.187394380363911,-0.473554246532264,9335.139529574673,-9920.655524672991,0.3059029677155459,-0.3223465618034391,2.245717352568382e-05,-2.366434274203844e-05,10000,1
1905.460717963248,1.102535283863913,-0.4888513607059882,8436.173516679361,-9819.599054687405,0.2878647596903872,-0.3319400589662504,2.223751722855519e-05,-2.564232866867349e-05,10000,1
2089.296130854041,1.016690548866376,-0.5014808891012345,7561.43133220708,-9641.447161930686,0.269307454178766,-0.3397884973984584,2.197953052278699e-05,-2.773184155869609e-05,10000,1
2290.867652767774,0.9309552847503326,-0.5110468166299454,6724.564053327953,-9392.194820588462,0.2504703998859938,-0.3457065568351342,2.168335863869033e-05,-2.992800450278745e-05,10000,1
2511.886431509579,0.8466024922774675,-0.5172583991300195,5936.451287707679,-9081.114770317174,0.2315915401158154,-0.3495321558625058,2.134559969296452e-05,-3.221608818322472e-05,10000,1
